,bed1_averageRent,bed1_minRent,bed1_maxRent,bed1_totalRentals,bed2_averageRent,bed2_minRent,bed2_maxRent,bed2_totalRentals,bed3_averageRent,bed3_minRent,bed3_maxRent,bed3_totalRentals,bed4_averageRent,bed4_minRent,bed4_maxRent,bed4_totalRentals,bed5_averageRent,bed5_minRent,bed5_maxRent,bed5_totalRentals,bed0_averageRent,bed0_minRent,bed0_maxRent,bed0_totalRentals
92805,1886.71,1250.0,3350.0,31.0,2751.7,1200.0,3850.0,53.0,3738.26,1800.0,8000.0,66.0,4401.05,1000.0,8000.0,19.0,4000.0,4000.0,4000.0,1.0,2092.29,1541.0,2529.0,14.0
92806,1703.0,620.0,2690.0,18.0,2475.8,1945.0,2885.0,5.0,3295.31,1500.0,4000.0,13.0,5249.0,4350.0,8050.0,5.0,5000.0,5000.0,5000.0,1.0,2243.4,1475.0,3159.0,10.0
92807,2420.48,1000.0,2675.0,21.0,3042.95,2495.0,4500.0,22.0,4092.43,2400.0,6500.0,23.0,4999.67,3900.0,9200.0,15.0,5200.0,5200.0,5200.0,2.0,2170.77,2000.0,2360.0,13.0
92808,2000.0,1200.0,2450.0,3.0,2992.6,2700.0,3500.0,20.0,3699.17,3200.0,4980.0,18.0,5331.25,4600.0,6300.0,8.0,5475.0,5200.0,6000.0,4.0,2157.5,1975.0,2340.0,2.0
92821,1768.18,1000.0,2500.0,11.0,2627.69,1675.0,3300.0,26.0,3551.26,1700.0,4500.0,31.0,4084.67,3495.0,5700.0,15.0,5932.5,4350.0,7500.0,6.0,2117.22,1505.0,2665.0,9.0
92823,,,,,3197.5,2950.0,3395.0,4.0,3879.0,3600.0,4500.0,5.0,4008.33,2000.0,6000.0,6.0,8500.0,8500.0,8500.0,1.0,2850.0,2850.0,2850.0,1.0
92831,1931.35,1300.0,2500.0,23.0,2517.57,1775.0,3300.0,28.0,3441.93,999.0,5250.0,15.0,4235.33,2000.0,6500.0,15.0,,,,,1998.77,1325.0,2990.0,13.0
92832,2040.7,1600.0,2650.0,10.0,2553.06,1750.0,3869.0,17.0,3200.0,2900.0,3400.0,3.0,3550.0,3300.0,3800.0,2.0,6900.0,6900.0,6900.0,1.0,2052.82,1225.0,3110.0,11.0
92833,1943.0,1425.0,2485.0,10.0,2648.45,1750.0,3700.0,29.0,3633.93,2000.0,8500.0,29.0,4239.38,2000.0,8500.0,24.0,4740.0,4680.0,4800.0,2.0,2080.33,1400.0,2661.0,3.0
92835,2631.84,1750.0,3070.0,19.0,3046.67,2250.0,3800.0,18.0,3614.05,2100.0,4800.0,21.0,4299.5,3600.0,5250.0,10.0,5200.0,4600.0,5800.0,2.0,2631.25,1750.0,3675.0,4.0
92840,1805.45,1375.0,2195.0,11.0,2771.26,1375.0,5000.0,19.0,3500.62,700.0,5900.0,21.0,3670.78,1550.0,5600.0,9.0,,,,,1810.57,1525.0,2235.0,7.0
92841,1857.67,1385.0,2500.0,9.0,2347.9,1915.0,2799.0,10.0,3362.43,2000.0,4000.0,14.0,3606.25,3390.0,3850.0,4.0,3700.0,3700.0,3700.0,1.0,,,,
92843,1744.0,800.0,2400.0,10.0,2321.84,1700.0,2850.0,19.0,3188.18,2795.0,3600.0,11.0,3045.75,1453.0,3750.0,4.0,5000.0,5000.0,5000.0,1.0,2117.5,1785.0,2450.0,2.0
92844,1772.5,1695.0,1850.0,2.0,2330.43,1895.0,2695.0,14.0,3411.92,2895.0,4195.0,13.0,3447.5,3300.0,3595.0,2.0,,,,,1624.0,1330.0,1918.0,2.0
92845,1025.0,1025.0,1025.0,1.0,2596.67,2200.0,2995.0,3.0,3785.0,3600.0,3900.0,7.0,4036.25,3795.0,4500.0,4.0,,,,,1705.0,1705.0,1705.0,1.0
92861,,,,,,,,,5995.0,5995.0,5995.0,1.0,6125.0,5000.0,7250.0,2.0,15666.67,12000.0,20000.0,3.0,,,,
92865,1918.33,1600.0,2235.0,3.0,2555.38,1785.0,3200.0,13.0,3523.64,2550.0,4250.0,11.0,4126.15,3350.0,5500.0,13.0,4833.33,4500.0,5500.0,3.0,,,,
92866,2020.71,1000.0,2800.0,14.0,2824.15,1588.0,5250.0,20.0,4168.33,3100.0,6000.0,12.0,3962.5,3950.0,3975.0,2.0,5495.0,5495.0,5495.0,1.0,1310.0,1310.0,1310.0,1.0
92867,1846.5,1595.0,2095.0,10.0,2554.8,1895.0,3300.0,10.0,4169.95,2995.0,8000.0,20.0,4796.33,3800.0,7500.0,15.0,5816.67,5000.0,6500.0,6.0,3253.67,2453.0,4000.0,3.0
92868,2419.2,1495.0,3305.0,30.0,2973.66,1750.0,4350.0,41.0,3275.38,1300.0,3995.0,13.0,4300.0,3750.0,4750.0,4.0,,,,,2345.8,1688.0,2870.0,15.0
92869,2046.12,1400.0,2750.0,17.0,2963.24,1490.0,4300.0,17.0,3945.95,1200.0,6250.0,21.0,4912.43,2500.0,7500.0,14.0,9500.0,6500.0,12500.0,2.0,1450.0,1450.0,1450.0,1.0
92870,2077.8,1800.0,2400.0,5.0,2578.08,1850.0,3400.0,26.0,3466.67,900.0,4500.0,24.0,4113.33,3300.0,4900.0,15.0,3822.5,3200.0,4445.0,2.0,2227.4,1700.0,2528.0,5.0
92886,2055.8,1750.0,2780.0,5.0,2826.92,2179.0,4300.0,12.0,3893.59,2900.0,5295.0,46.0,4373.78,2500.0,6200.0,37.0,5695.0,1000.0,9600.0,10.0,3100.0,3100.0,3100.0,1.0
92887,1125.0,1000.0,1250.0,2.0,2732.78,2500.0,2900.0,9.0,3671.67,3100.0,4200.0,9.0,4959.14,3900.0,7500.0,14.0,6258.33,4850.0,8500.0,6.0,2499.0,2499.0,2499.0,1.0
94501,2046.86,1300.0,3029.0,70.0,2804.1,1850.0,4750.0,102.0,3783.26,2650.0,5500.0,23.0,5178.8,4400.0,6499.0,5.0,,,,,2144.04,1400.0,4482.0,26.0
94502,3200.0,3200.0,3200.0,1.0,3590.0,3000.0,3995.0,7.0,4133.3,1900.0,5000.0,30.0,5111.88,4000.0,6995.0,8.0,,,,,,,,
94536,2150.36,1625.0,3450.0,25.0,2725.39,1775.0,3500.0,57.0,3512.06,1350.0,4500.0,54.0,3957.85,3000.0,6000.0,26.0,4650.0,4650.0,4650.0,1.0,2266.06,1250.0,2994.0,17.0
94538,2817.1,900.0,4220.0,42.0,2730.47,1900.0,3840.0,38.0,3442.91,1484.0,4520.0,43.0,4080.45,3500.0,5600.0,11.0,4450.0,4450.0,4450.0,1.0,2532.63,999.0,3550.0,24.0
94539,2311.5,1500.0,2850.0,10.0,2848.36,2000.0,3840.0,25.0,3704.55,2750.0,5490.0,22.0,4706.57,3500.0,7500.0,28.0,6004.29,4500.0,8200.0,7.0,2025.0,1350.0,2700.0,2.0
94541,1736.89,850.0,2200.0,18.0,2351.84,1700.0,3200.0,44.0,3055.06,1407.0,3995.0,32.0,3698.75,3500.0,4095.0,4.0,3975.0,3975.0,3975.0,1.0,1948.33,1250.0,2495.0,9.0
94542,1392.5,950.0,1849.0,4.0,2376.92,1990.0,2850.0,12.0,3473.75,3095.0,3800.0,4.0,4100.0,4100.0,4100.0,1.0,5286.25,4495.0,5900.0,4.0,2155.0,2155.0,2155.0,1.0
94544,1814.33,750.0,2840.0,24.0,2579.57,1725.0,3995.0,28.0,3213.24,1600.0,4400.0,21.0,3878.0,3200.0,4190.0,5.0,4266.67,3800.0,5000.0,3.0,2083.83,727.0,2689.0,12.0
94545,2350.0,2350.0,2350.0,1.0,2550.0,2300.0,2800.0,2.0,2914.56,1000.0,3495.0,16.0,4098.8,3900.0,4300.0,5.0,4650.0,3500.0,5800.0,2.0,2327.0,2032.0,2900.0,3.0
94546,2054.08,1500.0,2757.0,12.0,2591.65,1000.0,3295.0,34.0,3532.5,2640.0,4800.0,18.0,4650.0,4000.0,5750.0,3.0,6031.67,3997.0,7298.0,3.0,2233.75,1940.0,2715.0,4.0
94550,2073.75,1395.0,3100.0,12.0,2711.35,1975.0,3500.0,17.0,3319.82,2600.0,3950.0,34.0,4195.77,3350.0,5500.0,13.0,4248.33,4095.0,4450.0,3.0,2753.75,2416.0,3030.0,4.0
94552,2100.0,1950.0,2250.0,2.0,2916.67,2600.0,3200.0,3.0,3802.5,3395.0,4295.0,4.0,4206.67,3800.0,4595.0,6.0,5250.0,5000.0,5500.0,2.0,,,,
94555,1756.0,1200.0,2500.0,5.0,2852.69,2295.0,3200.0,16.0,3436.29,2890.0,3990.0,35.0,3908.68,3100.0,5800.0,19.0,4670.0,4550.0,4790.0,2.0,2296.0,2292.0,2300.0,2.0
94560,1993.33,1400.0,2600.0,9.0,2543.57,1950.0,3325.0,21.0,3415.77,1850.0,4500.0,26.0,3977.06,3190.0,5500.0,17.0,5480.0,5480.0,5480.0,1.0,1934.5,1775.0,2094.0,2.0
94566,2335.25,1895.0,2752.0,8.0,2794.75,2295.0,3500.0,16.0,3767.14,3000.0,5595.0,14.0,4406.67,3400.0,5750.0,12.0,6833.33,3900.0,8900.0,3.0,2700.67,1750.0,3250.0,6.0
94568,2396.35,1095.0,3800.0,17.0,2993.64,2200.0,3960.0,42.0,3506.98,1875.0,4099.0,51.0,4168.78,1280.0,6400.0,58.0,5492.5,4200.0,7495.0,8.0,2445.83,1320.0,3280.0,12.0
94577,1977.81,1550.0,2395.0,21.0,2505.25,1250.0,5500.0,32.0,3474.75,2495.0,5000.0,20.0,4115.83,3195.0,5500.0,6.0,,,,,2155.0,2075.0,2235.0,2.0
94578,1929.38,1600.0,2375.0,16.0,2403.88,1688.0,2950.0,40.0,3377.42,2500.0,4595.0,12.0,3595.0,3595.0,3595.0,2.0,,,,,1937.43,1442.0,2300.0,7.0
94579,1124.38,800.0,2095.0,8.0,2316.25,1990.0,2575.0,4.0,2872.29,1100.0,3300.0,7.0,3548.33,3200.0,3945.0,3.0,,,,,,,,
94580,1380.83,850.0,1850.0,6.0,2430.6,1968.0,2895.0,5.0,3123.13,2795.0,3395.0,8.0,3548.75,3100.0,3995.0,4.0,,,,,1690.0,1690.0,1690.0,1.0
94586,,,,,3700.0,3700.0,3700.0,1.0,,,,,,,,,,,,,,,,
94587,1629.0,850.0,2445.0,5.0,2468.12,2200.0,3200.0,17.0,3346.62,2300.0,4000.0,37.0,3720.87,1200.0,5000.0,23.0,4572.5,3800.0,5595.0,10.0,2373.56,2095.0,2695.0,9.0
94588,3058.33,2295.0,3760.0,3.0,2892.33,2350.0,3760.0,15.0,3604.65,2200.0,4788.0,20.0,3992.5,1300.0,4850.0,18.0,7500.0,5000.0,10000.0,2.0,3998.67,2195.0,16500.0,9.0
